Provider_ID,Name,Specialty,State,Hospital_Affiliation,Years_Experience,Accepts_Medicare,Accepts_Medicaid
PR0001,Dr. David Lee,Endocrinologist,IL,Cleveland Clinic,23,Yes,No
PR0002,Dr. Raj Patel,General Physician,FL,Stanford Medical,12,No,Yes
PR0003,Dr. Susan Clark,General Physician,FL,Baylor Medical,22,No,No
PR0004,Dr. Lisa Chen,Endocrinologist,NY,Stanford Medical,15,Yes,No
PR0005,Dr. Raj Patel,Neurologist,TX,Baylor Medical,11,Yes,No
PR0006,Dr. David Lee,General Physician,TX,Mayo Clinic,28,Yes,No
PR0007,Dr. Susan Clark,General Physician,NY,Mayo Clinic,19,No,Yes
PR0008,Dr. Lisa Chen,Cardiologist,IL,Baylor Medical,5,No,No
PR0009,Dr. Susan Clark,Oncologist,TX,Mayo Clinic,17,No,No
PR0010,Dr. Raj Patel,Endocrinologist,IL,Cleveland Clinic,20,Yes,Yes
PR0011,Dr. Raj Patel,Cardiologist,IL,Baylor Medical,10,No,Yes
PR0012,Dr. Lisa Chen,Neurologist,IL,Stanford Medical,6,No,Yes
PR0013,Dr. Raj Patel,Oncologist,CA,Baylor Medical,12,No,Yes
PR0014,Dr. Susan Clark,General Physician,CA,Baylor Medical,27,No,No
PR0015,Dr. David Lee,Cardiologist,CA,Cleveland Clinic,9,Yes,No
PR0016,Dr. Emily Johnson,Endocrinologist,FL,Mayo Clinic,16,Yes,Yes
PR0017,Dr. Raj Patel,General Physician,CA,Mayo Clinic,7,No,No
PR0018,Dr. Emily Johnson,Neurologist,FL,Baylor Medical,11,Yes,Yes
PR0019,Dr. Raj Patel,Cardiologist,FL,Mount Sinai,11,Yes,Yes
PR0020,Dr. Emily Johnson,Oncologist,TX,Stanford Medical,6,No,Yes
PR0021,Dr. Susan Clark,Neurologist,IL,Mayo Clinic,21,Yes,Yes
PR0022,Dr. Lisa Chen,General Physician,IL,Mayo Clinic,14,Yes,No
PR0023,Dr. Raj Patel,Endocrinologist,FL,Cleveland Clinic,5,No,Yes
PR0024,Dr. Lisa Chen,Neurologist,FL,Mayo Clinic,9,Yes,Yes
PR0025,Dr. Susan Clark,Cardiologist,IL,Cleveland Clinic,25,No,Yes
PR0026,Dr. Raj Patel,General Physician,FL,Cleveland Clinic,21,No,No
PR0027,Dr. Raj Patel,Oncologist,FL,Mount Sinai,23,No,No
PR0028,Dr. Emily Johnson,General Physician,NY,Mount Sinai,12,Yes,No
PR0029,Dr. Susan Clark,General Physician,NY,Stanford Medical,25,Yes,Yes
PR0030,Dr. Susan Clark,Neurologist,CA,Cleveland Clinic,17,Yes,Yes
PR0031,Dr. Susan Clark,Oncologist,TX,Mount Sinai,18,No,Yes
PR0032,Dr. Lisa Chen,Endocrinologist,NY,Mayo Clinic,23,Yes,No
